,Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá nhà
154,75.0,2,2,2,11/03/2023,21995407," Tạ Quang Bửu, Phường 6, Quận 8, TPHCM",2235000000
155,64.0,2,2,2,11/03/2023,21996026," Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1786000000
156,82.0,2,2,2,11/03/2023,21860969," Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",3560000000
157,65.0,2,2,2,11/03/2023,21996037," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",1830000000
158,107.0,3,2,2,11/03/2023,21860974," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",3250000000
159,93.0,2,2,2,11/03/2023,21996048," Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TPHCM",2310000000
160,75.0,2,2,2,11/03/2023,21861061," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",3480000000
161,90.0,2,2,2,11/03/2023,21996054," Lê Đại Hành, Phường 15, Quận 11, TPHCM",3550000000
162,56.0,1,1,2,11/03/2023,21861069," Hồng Hà, Phường 2, Quận Tân Bình, TPHCM",1720000000
163,78.0,2,2,2,11/03/2023,21996088," Tôn Đản, Phường 13, Quận 4, TPHCM",2450000000
164,66.0,2,2,2,11/03/2023,21861180," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1570000000
165,60.0,1,1,2,11/03/2023,21993221," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",1760000000
166,78.0,2,2,2,11/03/2023,21861277," Linh Đông, Phường Linh Trung, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1860000000
167,98.0,3,2,2,11/03/2023,21993575," Đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",2980000000
168,52.0,2,1,2,11/03/2023,21861296," Đỗ Xuân Hợp, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1168000000
169,76.0,2,2,3,11/03/2023,21900363," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",4000000000
170,90.0,3,2,2,11/03/2023,21993582," Cao Đạt, Phường 1, Quận 5, TPHCM",1950000000
171,90.0,3,2,2,11/03/2023,21861374," Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, TPHCM",3200000000
172,90.0,2,2,2,11/03/2023,21994031," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",2250000000
173,130.0,3,3,2,11/03/2023,21861402," Phổ Quang, Phường 2, Quận Tân Bình, TPHCM",3890000000
174,85.0,2,2,2,11/03/2023,21859899," Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TPHCM",3820000000
175,67.0,2,2,2,11/03/2023,21458861," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",2500000000
176,128.0,3,2,2,11/03/2023,21994146," Đào Trí, Phường Phú Thuận, Quận 7, TPHCM",2865000000
177,70.0,2,2,2,11/03/2023,21861411," Đường D6, Phường Bình Chiểu, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1770000000
178,109.0,3,2,3,11/03/2023,21900399," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",5400000000
179,72.0,2,2,2,11/03/2023,21994162," Nguyễn Xí, Phường 26, Quận Bình Thạnh, TPHCM",1870000000
180,70.0,2,2,2,11/03/2023,21861421," Đường D1, Phường 25, Quận Bình Thạnh, TPHCM",2765000000
181,95.0,3,2,2,11/03/2023,21994176," Trương Đăng Quế, Phường 3, Quận Gò Vấp, TPHCM",2765000000
182,78.0,2,2,2,11/03/2023,21861442," Tô Hiến Thành, Phường 14, Quận 10, TPHCM",4160000000
183,65.0,2,2,2,11/03/2023,21994313," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",1980000000
184,90.0,2,2,2,11/03/2023,21861489," Bạch Đằng, Phường 2, Quận Tân Bình, TPHCM",3120000000
185,97.0,2,2,2,11/03/2023,21994403," Hậu Giang, Phường 11, Quận 6, TPHCM",2860000000
186,90.0,2,2,2,11/03/2023,21861509," Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",5240000000
187,74.0,2,2,2,11/03/2023,21994408," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",2130000000
188,52.0,2,1,4,11/03/2023,22049025," Lái Thiêu, Phường Lái Thiêu, Thành Phố Thuận An, Bình Dương",1250000000
189,77.0,2,2,2,11/03/2023,21861519," Âu Cơ, Phường Tân Thành, Quận Tân Phú, TPHCM",1586000000
190,82.0,2,2,2,11/03/2023,21994413," Bến Vân Đồn, Phường 12, Quận 4, TPHCM",3650000000
191,53.0,2,1,4,11/03/2023,22049087," Vĩnh Phú 38, Phường Vĩnh Phú, Thành Phố Thuận An, Bình Dương",1250000000
192,75.0,2,2,2,11/03/2023,21862154," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",3520000000
193,65.0,2,2,2,11/03/2023,21994897," Tản Đà, Phường 11, Quận 5, TPHCM",1670000000
194,74.0,2,2,2,11/03/2023,21995388," Cao Lỗ, Phường 4, Quận 8, TPHCM",1814000000
